空白	くうはく
一種	いっしゅ
解く	とく
概ね	おおむね
真面	まとも
ふざける	ふざける
頓智	とんち
年子	としこ
ひろし(寛、宏、広)	ひろし
鳥小屋	とりごや
春夫	はるお
鶏	にわとり
生む	うむ
雛	ひよこ
象	ぞう
王様	おうさま
一頭	いっとう
大騒ぎ	おおさわぎ
役人	やくにん
さっそく	さっそく
秤	はかり
申し出る	もうしでる
掲示	けいじ
誰一人	だれひとり
度々	たびたび
催促	さいそく
沈む	しずむ
見物人	けんぶつにん
じっと	じっと
別	べつ
外側	そとがわ
下ろす	おろす
石	いし
積む	つむ
体力	たいりょく
ぱちぱち	ぱちぱち
委員会	いいんかい
川村	かわむら
利く	きく
目標	もくひょう
班	はん
一班	いっぱん
班長	はんちょう
鉄棒	てつぼう
前回り	まえまわり
池田	いけだ
谷口	たにぐち
不得意	ふとくい
小山	こやま
大西	おおにし
案	あん
木下	きのした
登り棒	のぼりぼう
励み	はげみ
中休み	なかやすみ
平気	へいき
登り切る	のぼりきる
応じる	おうじる
グラフ	グラフ
両方	りょうほう
記録	きろく
付け加える	つけくわえる
競走	きょうそう
公民館	こうみんかん
一気に	いっきに
和人	かずと
追い抜く	おいぬく
校庭	こうてい
一週	いっしゅう
ゴール	ゴール
貯える	たくわえる
出し切る	だしきる
縺れる	もつれる
正一	しょういち
ラスト	ラスト
必死	ひっし
一息	ひといき
風景	ふうけい
目に入る	めにはいる
ワーワー	ワーワー
声援	せいえん
響く	ひびく
食いしばる	くいしばる
絞り出す	しぼりだす
肩で息をする	かたでいきをする
追い込み	おいこみ
はあはあ	はあはあ
息を弾む	いきをはずむ
一歩	いっぽ
一位	いちい
途切れ途切れ	とぎれとぎれ
棒	ぼう
支える	ささえる
座り込む	すわりこむ
ずきんずきん	ずきんずきん
かっかと	かっかと
火照る	ほてる
いり乱れる	いりみだれる
ゴールイン	ゴールイン
平川	ひらかわ
紙切れ	かみきれ
一遍に	いっぺんに
さあっと	さあっと
飛び去る	とびさる
大空	おおぞら
精一杯	せいいっぱい
叫ぶ	さけぶ
要点	ようてん
順序	じゅんじょ
事柄	ことがら
結ぶ	むすぶ
間を置く	まをおく
強める	つよめる
聞き落とす	ききおとす
活用	かつよう
ひろこ	ひろこ
ほう	ほう
どきどき	どきどき
纏まる	まとまる
観察	かんさつ
心細い	こころぼそい
きちんと	きちんと
スケッチ	スケッチ
表	ひょう
それそれ	それそれ
鞭	むち
取り越し苦労	とりこしくろう
恥ずかしい	はずかしい
その内に	そのうちに
思いきって	おもいきって
ぐんと	ぐんと
成り立つ	なりたつ
大昔	おおむかし
手軽	てがる
そうして	そうして
貝殻	かいがら
貴重品	きちょうひん
稲	いね
説	せつ
武士	ぶし
名残	なごり
